file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-7-7792_m0494,64.97,65.33,28.93,64.65,64.48,66.67,63.96,63.32,64.97,64.97,64.97,64.97,38.97,64.97,63.27,64.97
PT-TT-SNI-DSC-35-7-7818_m0518,53.5,52.87,22.76,54.44,53.66,59.12,54.55,57.99,53.5,53.5,53.5,53.5,26.97,57.83,56.96,53.5
PT-TT-SNI-DSC-35-7-7843_m0543,62.8,62.8,45.1,61.24,59.22,63.73,62.8,65.38,62.8,62.8,62.8,62.8,33.02,62.8,60.19,62.8
PT-TT-SNI-DSC-35-7-7872_m0573,56.25,54.55,8.89,57.58,54.29,58.82,62.5,50.75,56.25,56.25,56.25,56.25,40.0,56.25,42.42,56.25
PT-TT-SNI-DSC-35-7-7968_m0665,63.78,63.28,22.56,57.96,59.29,63.16,64.31,64.62,63.78,63.78,63.78,63.78,43.02,63.78,61.96,63.78
PT-TT-SNI-DSC-35-7-7968_m0666,68.09,71.91,21.43,70.33,68.97,74.42,68.13,72.94,68.09,68.09,68.09,68.09,35.29,68.09,65.96,68.09
PT-TT-SNI-DSC-35-7-8032_m0720,55.42,50.55,23.33,43.96,47.06,48.84,55.42,50.0,55.42,55.42,55.42,55.42,20.45,55.42,53.85,55.42
PT-TT-SNI-DSC-35-7-8102_m0784,60.44,60.22,22.52,56.35,51.5,58.7,60.0,59.89,60.44,60.44,60.44,60.44,40.84,60.44,59.55,60.44
PT-TT-SNI-DSC-35-7-8105_m0787,65.13,64.21,13.26,65.66,62.69,67.17,64.37,67.69,65.13,65.13,65.13,65.13,45.16,65.13,65.17,65.13
PT-TT-SNI-DSC-35-7-8150_m0825,60.16,57.6,3.17,60.8,54.7,59.68,59.02,61.67,60.16,60.16,60.16,60.16,36.07,60.16,53.12,60.16
PT-TT-SNI-DSC-35-7-8197_m0866,65.12,65.67,0.0,66.67,63.64,66.41,65.13,60.16,65.12,65.12,65.12,65.12,40.71,63.6,64.09,65.12
